league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,positions,tags,x,y,is_goal
France,2500688,412701,3779,2354.1889600000004,2H,Shot,"[{'y': 71, 'x': 73}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1216}, {'id': 1802}]",73,71,0
France,2500688,412701,3779,2481.178624,2H,Shot,"[{'y': 48, 'x': 87}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",87,48,0
France,2500688,25673,3779,2493.059859,2H,Shot,"[{'y': 68, 'x': 94}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}]",94,68,0
France,2500688,25641,3779,2542.117948,2H,Shot,"[{'y': 50, 'x': 83}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 1212}, {'id': 1802}]",83,50,0
France,2500688,28115,3766,2702.5968489999996,2H,Shot,"[{'y': 57, 'x': 86}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1202}, {'id': 1801}]",86,57,1
France,2500688,29616,3779,2781.0077410000004,2H,Shot,"[{'y': 28, 'x': 72}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 1210}, {'id': 1802}]",72,28,0
France,2500689,256084,3804,244.53475200000003,1H,Shot,"[{'y': 64, 'x': 88}, {'y': 100, 'x': 100}]","[{'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}]",88,64,0
France,2500689,25770,3771,647.176407,1H,Shot,"[{'y': 63, 'x': 87}, {'y': 0, 'x': 0}]","[{'id': 1901}, {'id': 401}, {'id': 2101}, {'id': 1802}]",87,63,0
France,2500689,149054,3804,987.342719,1H,Shot,"[{'y': 29, 'x': 93}, {'y': 100, 'x': 100}]","[{'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1211}, {'id': 1802}]",93,29,0
France,2500689,26124,3804,1067.347045,1H,Shot,"[{'y': 49, 'x': 88}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 2101}, {'id': 1802}]",88,49,0
France,2500689,209086,3771,1146.410486,1H,Shot,"[{'y': 43, 'x': 76}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1208}, {'id': 1801}]",76,43,0
France,2500689,26311,3804,1439.608442,1H,Shot,"[{'y': 62, 'x': 74}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 1216}, {'id': 1802}]",74,62,0
France,2500689,7915,3771,1488.792613,1H,Shot,"[{'y': 31, 'x': 90}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",90,31,0
France,2500689,26100,3804,1543.463254,1H,Shot,"[{'y': 58, 'x': 76}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",76,58,0
France,2500689,280115,3771,2384.58116,1H,Shot,"[{'y': 61, 'x': 80}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 2101}, {'id': 1802}]",80,61,0
France,2500689,26100,3804,2579.983885,1H,Shot,"[{'y': 67, 'x': 84}, {'y': 100, 'x': 100}]","[{'id': 402}, {'id': 1216}, {'id': 1802}]",84,67,0
France,2500689,209086,3771,58.447775999999976,2H,Shot,"[{'y': 68, 'x': 76}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 2101}, {'id': 201}, {'id': 1802}]",76,68,0
France,2500689,14722,3771,204.87714000000005,2H,Shot,"[{'y': 55, 'x': 71}, {'y': 0, 'x': 0}]","[{'id': 401}, {'id': 201}, {'id': 1215}, {'id': 1802}]",71,55,0
France,2500689,280115,3771,279.795341,2H,Shot,"[{'y': 67, 'x': 90}, {'y': 0, 'x': 0}]","[{'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}]",90,67,0
France,2500689,28123,3771,325.0001259999999,2H,Shot,"[{'y': 51, 'x': 93}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 1901}, {'id': 403}, {'id': 201}, {'id': 1202}, {'id': 1801}]",93,51,1
France,2500689,256084,3804,387.065646,2H,Shot,"[{'y': 46, 'x': 74}, {'y': 100, 'x': 100}]","[{'id': 401}, {'id': 1215}, {'id': 1802}]",74,46,0
France,2500689,25770,3771,501.4966709999999,2H,Shot,"[{'y': 65, 'x': 89}, {'y': 0, 'x': 0}]","[{'id': 101}, {'id': 1901}, {'id': 401}, {'id': 201}, {'id': 1201}, {'id': 1801}]",89,65,1
France,2500689,70088,3771,722.5494159999998,2H,Shot,"[{'y': 54, 'x': 93}, {'y': 0, 'x': 0}]","[{'id': 403}, {'id': 201}, {'id': 1212}, {'id': 1802}]",93,54,0
