league,matchId,playerId,teamId,eventSec,matchPeriod,eventName,subEventName,x,y,is_goal,is_penalty,is_direct_free_kick,match_datetime_utc,match_date,match_date_local_raw,gameweek,roundId,seasonId,competitionId,match_label,match_status,match_duration,winner,period_sort_key,seconds_from_match_start,shot_sequence_in_match,shot_sequence_team_in_match,is_left_foot,is_right_foot,is_header,shot_body_part,distance_to_goal,shot_angle_rad,shot_angle_deg,xg_pred,career_shots_before_shot,career_goals_before_shot,career_non_goal_shots_before_shot,career_conversion_rate_before_shot,has_prior_shot_history,goals_last_5_matches,shots_last_5_matches,conversion_rate_last_5_matches,matches_in_form_window,xg_sum_last_5_matches,goals_minus_xg_last_5_matches,shots_per_match_last_5_matches,xg_per_shot_last_5_matches
France,2500693,21174,3767,304.13934600000005,1H,Shot,Shot,90,66,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,304.13934600000005,3,3,0,1,0,right_foot,15.120330684214549,0.3429933297063504,19.652070193313,0.10297881944791995,1,0,1,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,28948,3789,594.150889,1H,Shot,Shot,69,44,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,594.150889,4,1,0,1,0,right_foot,32.80470850350601,0.22054991305128954,12.636579189816162,0.014754428827083572,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,3314,3767,791.0405109999999,1H,Free Kick,Free kick shot,66,62,0,0,1,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,791.0405109999999,5,4,1,0,0,left_foot,36.620699064873136,0.19434327332386017,11.135049338214586,0.02396649139903142,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,3334,3767,1043.416986,1H,Shot,Shot,88,65,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1043.416986,6,5,0,1,0,right_foot,16.21110730332755,0.35421193704310655,20.29484904572363,0.09463235337315307,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,209117,3767,1045.100539,1H,Shot,Shot,96,42,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1045.100539,7,6,0,0,1,head,6.872670514436149,0.7375266797959982,42.25716603060718,0.16065541024596405,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,40539,3767,1167.86697,1H,Shot,Shot,69,57,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1167.86697,8,7,0,1,0,right_foot,32.89620190842705,0.21934895760618547,12.567769511428445,0.014588179940942029,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,40539,3767,1302.385321,1H,Shot,Shot,89,69,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1302.385321,9,8,0,1,0,right_foot,17.33,0.2865448767458286,16.41781207863235,0.07664269598390215,1,0,1,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,209117,3767,1420.486689,1H,Shot,Shot,88,29,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1420.486689,10,9,1,0,0,left_foot,19.04411720190778,0.25816823353917434,14.791950186142477,0.06392273938649791,1,0,1,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,25534,3789,1731.915551,1H,Shot,Shot,95,33,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,1731.915551,11,2,0,0,1,head,12.69630261139045,0.2543799095751475,14.57489521157547,0.04413637065635599,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
France,2500693,209117,3767,2037.963279,1H,Shot,Shot,82,73,0,0,0,2017-08-05 15:15:00+00:00,2017-08-05,"August 5, 2017 at 5:15:00 PM GMT+2",1,4405655,181189,412,"PSG - Amiens SC, 2 - 0",Played,Regular,3767,1,2037.963279,12,10,1,0,0,left_foot,24.53201173976566,0.23092205230254725,13.230858993435211,0.035645009330461136,2,0,2,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
