league,matchId,playerId,teamId,eventSec,matchPeriod,subEventName,x,y,is_goal,match_datetime_utc,match_date,match_date_local_raw,gameweek,roundId,seasonId,competitionId,match_label,match_status,match_duration,winner,period_sort_key,seconds_from_match_start,shot_sequence_in_match,shot_sequence_team_in_match,is_left_foot,is_right_foot,is_header,shot_body_part,distance_to_goal,shot_angle_rad,shot_angle_deg
France,2500690,25939,3785,1735.8417339999996,2H,Shot,77,76,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,4435.841734,12,6,False,True,False,right_foot,29.930000000000007,0.1977182350684717,11.328420402198935
France,2500690,26604,3785,2123.430045,2H,Shot,88,53,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,4823.430045,13,7,True,False,False,left_foot,12.764074584551746,0.5527020814793425,31.66749659686207
France,2500690,25939,3785,2326.607984,2H,Shot,90,56,1,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Metz - Guingamp, 1 - 3",Played,Regular,3785,2,5026.607984,14,8,False,True,False,right_foot,11.264830225085507,0.5952429420474448,34.10490836426884
France,2500692,26069,3783,297.470835,1H,Shot,85,27,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,297.470835,1,1,True,False,False,left_foot,22.19621814634196,0.23606503596190817,13.52553025122134
France,2500692,246946,3787,441.95188599999994,1H,Shot,73,40,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,441.95188599999994,2,1,False,True,False,right_foot,29.154116347438823,0.24315556903539484,13.93178787083005
France,2500692,26069,3783,465.523461,1H,Shot,89,24,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,465.523461,3,2,True,False,False,left_foot,21.118354576055395,0.19300878803348462,11.058588963253776
France,2500692,26665,3787,543.244536,1H,Shot,88,47,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,543.244536,4,2,False,False,True,head,12.764074584551746,0.5527020814793425,31.66749659686207
France,2500692,15004,3783,659.838337,1H,Shot,93,42,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,659.838337,5,3,False,False,True,head,9.144183943906636,0.6537802478838335,37.45884893276043
France,2500692,26069,3783,788.364935,1H,Shot,76,57,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,788.364935,6,4,True,False,False,left_foot,25.645615609690484,0.2788415686138379,15.976445034380474
France,2500692,341973,3787,1812.564765,1H,Shot,73,72,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,1812.564765,7,3,False,True,False,right_foot,32.055016768050514,0.2018443308360699,11.564828275549104
France,2500692,25715,3783,1896.5242309999999,1H,Shot,76,38,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,1896.5242309999999,8,5,False,True,False,right_foot,26.488216247984692,0.2618716806052826,15.004142072680589
France,2500692,26665,3787,1973.473105,1H,Shot,83,70,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,1973.473105,9,4,False,True,False,right_foot,22.44064393015494,0.2604985754776251,14.925468944038043
France,2500692,26665,3787,2041.293987,1H,Shot,97,44,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,2041.293987,10,5,False,False,True,head,5.154502885827111,1.0517384893843038,60.26017659318534
France,2500692,25829,3787,2288.193885,1H,Shot,72,38,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,1,2288.193885,11,6,False,True,False,right_foot,30.511401147767703,0.23038200512220236,13.19991656926351
France,2500692,25829,3787,276.3754399999998,2H,Shot,72,44,0,2017-08-05 18:00:00+00:00,2017-08-05,"August 5, 2017 at 8:00:00 PM GMT+2",1,4405655,181189,412,"Montpellier - Caen, 1 - 0",Played,Regular,3787,2,2976.37544,12,7,True,False,False,left_foot,29.681751969855153,0.2431394244175075,13.930862852363253
